filename	ann_id	label	start_span	end_span	text
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	0	10	Modo M 2-D
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	182	202	fracción de eyección
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	344	350	mitral
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	274	293	derrame pericárdico
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	373	389	válvula pulmonar
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	499	512	regurgitación
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	360	370	tricúspide
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	352	370	válvula tricúspide
8a151bf9-7e50-43f3-aa6c-0e96dcd336cf	T	ENFERMEDAD	256	265	LV normal
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1555	1562	doppler
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1015	1021	anular
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	555	564	auricular
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1001	1014	calcificación
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	19	26	cavidad
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	191	211	fracción de eyección
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1022	1028	mitral
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	245	257	obliteración
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	337	343	salida
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1140	1153	regurgitación
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	478	498	patrón de relajación
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	821	830	estenosis
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	121	138	función sistólica
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1181	1191	tricúspide
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	781	788	válvula
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	27	38	ventricular
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	19	38	cavidad ventricular
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	93	115	movimiento de la pared
d73c1065-db27-4aea-bcaf-0e9c58f77a73	T	ENFERMEDAD	1268	1284	arteria pulmonar
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	0	14	Ecocardiograma
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	130	146	función cardíaca
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	23	39	múltiples vistas
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	670	689	arterias coronarias
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	798	815	aorta descendente
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	54	67	grandes vasos
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	44	51	corazón
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	186	197	hipertrofia
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	244	263	derrame pericárdico
196e9fc4-0761-4d67-a7c4-34a7bb569b84	T	ENFERMEDAD	411	421	tricúspide
25c43a66-1315-49dd-bf5f-7ec4f5e56480	T	ENFERMEDAD	32	49	cámaras cardíacas
25c43a66-1315-49dd-bf5f-7ec4f5e56480	T	ENFERMEDAD	418	431	regurgitación
